a,b,c,d,f,q,i,s,u,x,total_graded_students,total_students,total_surveys,surveys_completed,pending_surveys,course_assignments,expected_1,expected_2,expected_3,objectives_1,objectives_2,objectives_3,objectives_4,critical_thinking_1,critical_thinking_2,critical_thinking_3,critical_thinking_4,organization_1,organization_2,organization_3,organization_4,diverse_1,diverse_2,diverse_3,diverse_4,diverse_5,diverse_0,feedback_1,feedback_2,feedback_3,feedback_4,feedback_5,feedback_6,year,subject_code,course_number,campus_code,professor_name,a%,b%,c%,d%,f%,q%,i%,s%,u%,x%,mean_gpa,q_gpa,mean_expected,mean_objectives,mean_critical_thinking,mean_organization,mean_diverse,mean_feedback
13,5,1,0,0,2,0,0,0,0,19,21,19,10,9,1,0,1,9,0,0,0,10,0,0,3,7,0,1,3,6,1,0,0,5,3,1,0,0,0,0,2,8,2022,BUSN,203,1,Aaron D. Heinrich,61.905,23.81,4.762,0.0,0.0,9.524,0.0,0.0,0.0,0.0,3.632,3.333,2.9,4.0,3.7,3.5,4.0,5.8
3,4,1,0,0,0,0,0,0,0,8,8,8,2,6,1,0,0,2,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2022,ESSM,300,1,Aaron D. Stottlemyer,37.5,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.25,3.0,4.0,2.5,4.0,4.0,5.0
23,18,4,1,0,0,0,0,0,0,46,46,46,27,19,2,0,0,27,0,0,5,22,0,0,4,23,0,0,6,21,1,0,0,10,16,0,0,0,1,2,8,16,2020,MASC,420,1,Aaron E. Kidd,50.0,39.13,8.696,2.174,0.0,0.0,0.0,0.0,0.0,0.0,3.37,3.37,3.0,3.815,3.852,3.778,4.481,5.444
42,14,1,0,0,0,0,0,0,0,57,57,57,19,38,2,2,1,2,2,1,1,1,0,2,2,1,1,2,1,1,0,1,2,1,1,0,0,1,2,1,0,1,2022,TEFB,413,1,Aaron E. Kidd,73.684,24.561,1.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719,3.719,0.526,0.579,0.737,0.632,0.895,0.947
55,8,4,0,1,0,0,0,0,1,68,69,69,68,1,3,0,0,68,0,0,1,67,0,0,10,58,0,0,3,65,8,0,0,14,46,0,0,0,1,2,19,46,2020,RDNG,373,1,Aaron J. Penton,79.71,11.594,5.797,0.0,1.449,0.0,0.0,0.0,0.0,1.449,3.706,3.706,3.0,3.985,3.853,3.956,4.324,5.618
90,14,0,1,0,0,0,0,0,0,105,105,105,88,17,2,0,4,84,0,0,9,79,0,2,33,53,0,2,45,41,3,0,3,26,55,1,1,0,2,27,35,23,2021,NVSC,210,1,Aaron L. Getter,85.714,13.333,0.0,0.952,0.0,0.0,0.0,0.0,0.0,0.0,3.838,3.838,2.955,3.898,3.58,3.443,4.494,4.864
27,11,1,0,0,1,0,0,0,0,39,40,39,9,30,2,0,1,8,0,1,0,8,0,0,3,6,0,0,2,7,1,0,0,3,4,1,0,0,0,2,3,4,2021,NVSC,303,1,Aaron L. Getter,67.5,27.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,3.667,3.588,2.889,3.778,3.667,3.778,4.125,5.222
15,2,0,0,0,1,0,0,0,0,17,18,17,8,9,1,0,0,8,0,0,0,8,0,0,1,7,0,0,2,6,1,0,0,3,4,0,0,0,0,0,6,2,2020,NVSC,410,1,Aaron L. Getter,83.333,11.111,0.0,0.0,0.0,5.556,0.0,0.0,0.0,0.0,3.882,3.694,3.0,4.0,3.875,3.75,4.125,5.25
26,16,4,2,2,0,0,0,0,0,50,50,50,6,44,2,0,1,5,0,0,0,6,0,1,1,4,0,0,3,3,0,0,0,3,3,0,0,0,0,1,1,4,2020,CSCE,482,1,Aaron M. Kingery,52.0,32.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.24,3.24,2.833,4.0,3.5,3.5,4.5,5.5
48,18,2,2,0,3,0,0,0,0,70,73,70,19,51,1,0,7,12,0,1,7,11,0,3,6,10,2,3,6,8,0,0,3,8,8,0,0,0,1,6,7,5,2022,ENTO,431,1,Aaron M. Tarone,65.753,24.658,2.74,2.74,0.0,4.11,0.0,0.0,0.0,0.0,3.6,3.473,2.632,3.526,3.368,3.053,4.263,4.842
25,0,0,0,0,0,0,0,0,0,25,25,25,11,14,1,0,0,11,0,0,4,7,0,3,2,6,0,0,5,6,0,0,2,5,3,1,0,0,1,4,3,3,2022,FIVS,431,1,Aaron M. Tarone,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.636,3.273,3.545,4.1,4.727
58,4,0,0,0,0,0,0,0,0,62,62,62,23,39,2,3,15,5,1,7,7,8,1,5,4,13,1,8,10,4,0,1,2,11,9,0,0,3,11,3,1,5,2021,FIVS,435,1,Aaron M. Tarone,93.548,6.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935,3.935,2.087,2.957,3.261,2.739,4.217,3.739
75,14,3,1,0,0,0,0,0,0,93,93,93,82,11,1,0,5,77,0,4,25,53,0,4,22,56,1,3,21,57,0,3,2,31,40,6,1,1,7,14,35,24,2022,KINE,427,1,Aaron Morton,80.645,15.054,3.226,1.075,0.0,0.0,0.0,0.0,0.0,0.0,3.753,3.753,2.939,3.598,3.634,3.634,4.421,4.866
37,22,0,0,0,0,2,0,0,0,59,61,61,34,27,2,0,2,32,2,0,7,25,0,0,10,24,0,1,5,28,0,0,0,13,21,0,0,0,0,9,10,15,2021,SCMT,465,1,Aaron W. Bonnett,60.656,36.066,0.0,0.0,0.0,0.0,3.279,0.0,0.0,0.0,3.627,3.627,2.941,3.618,3.706,3.794,4.618,5.176
4,2,0,2,0,0,0,0,0,0,8,8,8,1,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2021,OCEN,401,1,Aarthi Sekaran,50.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,6.0
3,3,0,0,0,0,0,0,0,0,6,6,6,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2021,OCEN,689,1,Aarthi Sekaran,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.0,4.0,4.0,4.0,5.0,6.0
92,89,39,3,0,7,0,0,0,0,223,230,223,178,45,4,10,38,130,4,24,52,98,0,8,57,113,7,28,59,84,7,10,33,75,45,8,1,16,29,47,52,33,2020,CHEN,324,1,Abdoulaye Djire,40.0,38.696,16.957,1.304,0.0,3.043,0.0,0.0,0.0,0.0,3.211,3.128,2.674,3.371,3.59,3.236,3.829,4.303
14,9,0,0,0,0,0,0,0,0,23,23,23,12,11,1,1,5,6,0,4,1,7,0,2,6,4,2,4,4,2,0,1,1,4,6,0,0,1,0,4,4,3,2021,CHEN,489,1,Abdoulaye Djire,60.87,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.609,3.609,2.417,3.25,3.167,2.5,4.25,4.667
10,2,0,0,0,0,0,0,0,0,12,12,12,5,7,1,0,1,4,0,0,0,5,0,0,2,3,0,0,3,2,0,0,0,0,5,0,0,0,1,1,2,1,2021,CHEN,689,1,Abdoulaye Djire,83.333,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.833,3.833,2.8,4.0,3.6,3.4,5.0,4.6
25,19,11,1,4,7,0,0,0,0,60,67,60,32,28,3,1,7,24,1,5,11,15,1,1,11,19,1,4,15,12,1,4,6,14,2,5,2,3,5,9,9,4,2022,CSCE,312,1,Abdullah Muzahid,37.313,28.358,16.418,1.493,5.97,10.448,0.0,0.0,0.0,0.0,3.0,2.739,2.719,3.25,3.5,3.188,3.444,4.0
24,35,25,7,7,10,1,0,0,0,98,109,99,60,39,5,0,15,45,1,6,30,23,0,4,35,21,1,4,33,22,2,4,15,32,4,3,4,2,10,22,16,6,2021,CSCE,350,1,Abdullah Muzahid,22.018,32.11,22.936,6.422,6.422,9.174,0.917,0.0,0.0,0.0,2.633,2.435,2.75,3.25,3.283,3.267,3.561,4.033
17,1,0,0,0,0,0,0,0,0,18,18,18,11,7,1,0,1,10,0,0,0,11,0,0,1,10,0,0,2,9,0,0,0,2,8,1,0,0,0,0,6,5,2021,CSCE,689,1,Abdullah Muzahid,94.444,5.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944,3.944,2.909,4.0,3.909,3.818,4.8,5.455
42,6,1,0,0,0,1,0,0,0,49,50,50,44,6,2,0,5,39,1,2,8,33,0,3,13,28,0,4,10,30,4,2,1,18,16,3,2,1,3,9,13,16,2021,EDAD,608,1,Abelardo M. Saavedra,84.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.837,3.837,2.886,3.659,3.568,3.591,3.976,4.773
7,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,7,0,0,0,0,0,1,6,2022,EDAD,615,1,Abelardo M. Saavedra,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.857
16,0,0,0,0,0,0,0,0,0,16,16,16,13,3,1,0,0,13,0,0,3,10,0,1,2,10,0,0,0,13,3,0,1,3,6,0,0,0,1,2,3,7,2021,EDAD,616,1,Abelardo M. Saavedra,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.769,3.692,4.0,3.692,5.231
15,0,0,0,0,0,0,0,0,0,15,15,15,14,1,1,0,0,14,1,1,0,12,1,1,2,10,0,0,0,14,0,1,1,1,10,1,0,1,0,2,3,8,2022,EDAD,630,1,Abelardo M. Saavedra,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.643,3.5,4.0,4.538,5.214
9,1,0,0,0,0,0,0,0,0,10,10,10,10,0,1,0,1,9,0,0,3,7,0,0,4,6,0,0,3,7,1,0,0,5,3,1,0,0,1,2,3,4,2021,EDAD,635,1,Abelardo M. Saavedra,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,2.9,3.7,3.6,3.7,4.0,5.0
17,1,0,0,0,0,0,0,0,0,18,18,18,14,4,1,0,0,14,0,1,2,11,0,2,2,10,0,0,1,13,2,0,1,2,9,0,0,0,1,3,1,9,2020,EDAD,651,1,Abelardo M. Saavedra,94.444,5.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944,3.944,3.0,3.714,3.571,3.929,4.143,5.286
50,53,23,0,1,0,0,0,0,0,127,127,127,27,100,8,0,3,24,0,1,7,19,0,1,13,13,0,0,7,20,2,0,5,10,6,4,5,0,0,7,9,6,2022,ESET,300,1,Abhiram Dinavahi,39.37,41.732,18.11,0.0,0.787,0.0,0.0,0.0,0.0,0.0,3.189,3.189,2.889,3.667,3.444,3.741,3.783,4.222
22,12,5,2,2,2,0,0,0,0,43,45,43,13,30,1,0,0,13,0,5,4,4,0,1,5,7,0,0,6,7,0,0,2,5,2,4,0,0,1,4,5,3,2021,STAT,302,1,Abhisek Chakraborty,48.889,26.667,11.111,4.444,4.444,4.444,0.0,0.0,0.0,0.0,3.163,3.044,3.0,2.923,3.462,3.538,4.0,4.769
51,42,16,4,2,50,0,0,0,0,115,165,115,50,65,3,1,12,37,2,8,15,25,1,4,14,31,1,3,15,31,2,2,8,18,15,5,1,1,11,16,10,11,2021,STAT,212,1,Abhishek Chakrabortty,30.909,25.455,9.697,2.424,1.212,30.303,0.0,0.0,0.0,0.0,3.183,2.37,2.72,3.26,3.5,3.52,3.933,4.32
144,54,30,2,1,15,0,0,0,0,231,246,231,175,56,4,1,17,157,0,23,54,98,3,14,76,82,1,9,42,123,9,8,33,60,56,9,2,8,23,46,51,45,2020,STAT,651,1,Abhishek Chakrabortty,58.537,21.951,12.195,0.813,0.407,6.098,0.0,0.0,0.0,0.0,3.463,3.283,2.891,3.429,3.354,3.64,3.88,4.549
85,51,12,1,0,8,0,0,0,0,149,157,149,77,72,3,2,16,59,2,18,25,32,0,6,26,45,3,17,36,21,1,1,18,33,15,9,8,5,13,26,19,6,2020,BMEN,341,1,Abhishek Jain,54.14,32.484,7.643,0.637,0.0,5.096,0.0,0.0,0.0,0.0,3.477,3.325,2.74,3.13,3.506,2.974,3.882,3.792
5,3,0,1,0,0,0,0,0,0,9,9,9,8,1,1,0,0,8,0,0,1,7,0,0,0,8,0,0,2,6,1,0,0,2,5,0,0,0,0,2,4,2,2022,BMEN,689,1,Abhishek Jain,55.556,33.333,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,3.333,3.333,3.0,3.875,4.0,3.75,4.25,5.0
5,4,5,1,0,0,0,0,0,0,15,15,15,5,10,1,0,2,3,0,0,3,2,0,1,2,2,0,0,3,2,1,0,0,1,2,1,0,0,1,1,2,1,2022,CHEM,117,1,Abigael Songok,33.333,26.667,33.333,6.667,0.0,0.0,0.0,0.0,0.0,0.0,2.867,2.867,2.6,3.4,3.2,3.4,3.75,4.6
294,235,84,26,19,45,0,0,0,0,658,703,658,485,173,30,7,160,318,23,119,210,133,2,47,213,223,20,119,221,125,12,35,153,174,76,35,31,29,103,185,96,41,2022,CHEM,119,1,Abigael Songok,41.821,33.428,11.949,3.698,2.703,6.401,0.0,0.0,0.0,0.0,3.153,2.984,2.641,2.934,3.355,2.93,3.593,3.843
3,6,6,0,0,0,0,0,0,0,15,15,15,13,2,1,2,0,11,1,3,2,7,1,2,3,7,1,1,3,8,1,0,4,0,8,0,0,2,1,2,2,6,2022,VTPB,922,1,Abigail E. Finley,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,2.692,3.154,3.231,3.385,4.077,4.692
5,9,1,0,0,0,0,0,0,0,15,15,15,15,0,1,0,0,15,0,0,4,11,0,1,5,9,0,0,0,15,0,0,2,7,5,1,1,0,0,0,8,6,2022,VTPB,923,1,Abigail E. Finley,33.333,60.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.267,3.267,3.0,3.733,3.533,4.0,4.214,5.133
26,6,3,0,1,0,0,0,0,0,36,36,36,22,14,1,0,2,20,1,1,3,17,0,0,6,16,1,0,8,13,1,0,1,6,14,0,1,0,1,7,7,6,2021,PHIL,111,1,Abouzar Moradian Tehrani,72.222,16.667,8.333,0.0,2.778,0.0,0.0,0.0,0.0,0.0,3.556,3.556,2.909,3.636,3.727,3.5,4.455,4.682
17,18,24,13,3,13,0,0,0,0,75,88,75,11,64,2,0,3,8,0,2,4,5,0,1,4,6,0,1,9,1,0,1,0,5,4,1,0,1,2,4,3,1,2021,PETE,314,1,Abu Rashid Hasan,19.318,20.455,27.273,14.773,3.409,14.773,0.0,0.0,0.0,0.0,2.44,2.153,2.727,3.273,3.455,3.0,4.2,4.091
27,9,3,1,0,7,1,0,0,0,40,48,41,15,26,1,1,3,11,0,1,6,8,0,2,5,8,1,0,4,10,1,0,3,6,4,1,3,1,1,5,4,1,2021,OCNG,251,1,Achim Stoessel,56.25,18.75,6.25,2.083,0.0,14.583,2.083,0.0,0.0,0.0,3.55,3.096,2.667,3.467,3.4,3.533,3.857,3.6
12,6,13,4,0,0,0,0,0,0,35,35,35,5,30,1,0,1,4,0,0,2,3,0,1,0,4,0,1,1,3,0,0,1,0,2,2,0,1,0,0,1,3,2021,OCNG,310,1,Achim Stoessel,34.286,17.143,37.143,11.429,0.0,0.0,0.0,0.0,0.0,0.0,2.743,2.743,2.8,3.6,3.6,3.4,4.333,5.0
27,7,16,9,2,3,0,0,0,0,61,64,61,15,46,2,0,3,12,0,4,2,9,0,2,3,10,0,1,1,13,0,0,4,5,2,4,0,0,5,2,6,2,2021,OCNG,451,1,Achim Stoessel,42.188,10.938,25.0,14.062,3.125,4.688,0.0,0.0,0.0,0.0,2.787,2.68,2.8,3.333,3.533,3.8,3.818,4.333
8,5,3,0,0,0,0,0,0,0,16,16,16,8,8,2,0,0,8,0,0,0,8,0,0,1,7,0,0,0,8,1,0,0,0,7,0,0,0,1,0,2,5,2020,OCNG,608,1,Achim Stoessel,50.0,31.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.312,3.312,3.0,4.0,3.875,4.0,4.5,5.375
6,0,0,0,0,0,0,0,0,0,6,6,6,3,3,1,0,0,3,0,0,1,2,0,0,1,2,0,0,0,3,0,0,1,1,1,0,0,0,0,1,1,1,2022,PHPM,619,1,Adam A. Alexander,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.667,3.667,4.0,4.0,5.0
48,37,7,0,0,2,0,0,0,0,92,94,92,51,41,6,0,4,47,1,0,8,42,0,1,9,41,1,0,13,37,4,0,5,18,13,11,3,0,4,16,16,12,2022,ECEN,214,1,Adam B. Birchfield,51.064,39.362,7.447,0.0,0.0,2.128,0.0,0.0,0.0,0.0,3.446,3.383,2.922,3.784,3.784,3.686,3.9,4.529
58,21,7,2,2,0,0,0,0,0,90,90,90,39,51,6,0,1,38,1,1,3,34,0,2,12,25,0,1,3,35,0,0,4,9,22,4,1,1,1,12,14,10,2021,ECEN,460,1,Adam B. Birchfield,64.444,23.333,7.778,2.222,2.222,0.0,0.0,0.0,0.0,0.0,3.456,3.456,2.974,3.795,3.59,3.872,4.514,4.718
24,7,1,0,0,0,0,0,0,0,32,32,32,20,12,2,0,0,20,0,0,4,16,0,0,7,13,0,0,1,19,0,0,2,4,14,0,0,0,0,2,8,10,2021,ECEN,615,1,Adam B. Birchfield,75.0,21.875,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719,3.719,3.0,3.8,3.65,3.95,4.6,5.4
22,2,1,0,0,0,0,0,0,0,25,25,25,24,1,1,0,1,23,0,0,5,19,0,0,8,16,0,1,12,11,0,0,0,5,17,2,0,0,0,0,11,13,2022,ECEN,616,1,Adam B. Birchfield,88.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,3.84,2.958,3.792,3.667,3.417,4.773,5.542
112,51,12,1,1,1,0,0,0,0,177,178,177,42,135,4,4,10,28,6,3,10,23,2,5,4,31,1,7,8,26,0,5,2,10,24,1,3,3,5,7,6,18,2020,TCMG,412,1,Adam B. Mikeal,62.921,28.652,6.742,0.562,0.562,0.562,0.0,0.0,0.0,0.0,3.537,3.52,2.571,3.19,3.524,3.405,4.293,4.524
18,4,0,0,0,0,0,0,0,0,22,22,22,7,15,1,0,0,7,0,0,0,7,0,0,1,6,0,0,0,7,0,0,0,0,7,0,0,0,0,0,2,5,2022,PHLT,410,1,Adam Bradley,81.818,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.818,3.818,3.0,4.0,3.857,4.0,5.0,5.714
2,35,4,0,1,4,1,0,0,0,42,47,43,13,30,4,0,3,10,1,2,6,4,0,1,3,9,0,1,4,8,1,0,2,5,5,0,3,1,2,5,2,0,2021,FINC,443,1,Adam C. Kolasinski,4.255,74.468,8.511,0.0,2.128,8.511,2.128,0.0,0.0,0.0,2.881,2.674,2.769,3.0,3.615,3.538,4.0,3.154
11,65,10,0,0,0,0,0,0,0,86,86,86,26,60,2,0,7,19,3,2,15,6,0,2,10,14,0,9,6,11,2,1,5,11,5,2,4,2,4,8,6,2,2021,FINC,605,1,Adam C. Kolasinski,12.791,75.581,11.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.012,3.012,2.731,2.923,3.462,3.077,3.667,3.615
17,89,5,0,0,1,0,0,0,0,111,112,111,45,66,4,7,20,18,8,14,16,7,0,4,15,26,2,13,19,11,2,3,8,14,15,3,4,8,10,13,8,2,2021,FINC,641,1,Adam C. Kolasinski,15.179,79.464,4.464,0.0,0.0,0.893,0.0,0.0,0.0,0.0,3.108,3.085,2.244,2.489,3.489,2.867,3.881,3.422
19,22,9,1,1,5,0,0,0,0,52,57,52,10,42,1,0,1,9,0,0,1,9,0,1,2,7,0,0,2,8,1,0,0,1,8,0,0,0,2,2,2,4,2022,ANTH,205,1,Adam M. Burke,33.333,38.596,15.789,1.754,1.754,8.772,0.0,0.0,0.0,0.0,3.096,2.868,2.9,3.9,3.6,3.8,4.5,4.8
5,6,2,0,1,1,1,0,0,0,14,16,15,4,11,1,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,0,4,0,0,0,0,0,1,3,2021,ANTH,401,1,Adam M. Burke,31.25,37.5,12.5,0.0,6.25,6.25,6.25,0.0,0.0,0.0,3.0,2.833,2.75,3.75,3.75,3.75,5.0,5.75
55,79,25,0,0,0,0,0,0,0,159,159,159,12,147,1,0,0,12,0,0,0,12,0,0,1,11,0,0,1,11,0,0,0,2,9,1,1,0,0,2,5,4,2022,VSCS,957,1,Adam P. Patterson,34.591,49.686,15.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.189,3.189,3.0,4.0,3.917,3.917,4.818,4.833
54,109,19,0,0,0,0,0,0,0,182,182,182,32,150,2,0,1,31,0,0,5,27,0,1,11,20,0,0,10,22,0,1,2,12,14,3,9,0,1,12,3,7,2021,VSCS,960,1,Adam P. Patterson,29.67,59.89,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192,3.192,2.969,3.844,3.594,3.688,4.345,3.656
151,164,21,3,11,25,0,0,0,0,350,375,350,135,215,16,3,10,122,1,7,20,107,0,12,46,77,1,4,32,98,6,4,10,51,60,4,1,4,6,15,54,55,2020,COMM,205,1,Adam R. Bajan,40.267,43.733,5.6,0.8,2.933,6.667,0.0,0.0,0.0,0.0,3.26,3.076,2.881,3.726,3.481,3.681,4.183,5.089
57,166,18,6,2,7,0,0,0,0,249,256,249,101,148,3,0,29,72,1,17,35,48,3,12,36,50,0,11,35,55,5,1,4,26,65,0,1,6,11,33,27,23,2021,COMM,257,1,Adam R. Bajan,22.266,64.844,7.031,2.344,0.781,2.734,0.0,0.0,0.0,0.0,3.084,3.014,2.713,3.287,3.317,3.436,4.436,4.465
26,47,4,0,0,2,0,0,0,0,77,79,77,35,42,3,1,8,26,0,5,5,25,0,2,7,26,1,3,10,21,0,0,2,7,26,0,1,0,4,10,12,8,2021,RELS,257,1,Adam R. Bajan,32.911,59.494,5.063,0.0,0.0,2.532,0.0,0.0,0.0,0.0,3.286,3.215,2.714,3.571,3.686,3.457,4.686,4.6
28,36,2,1,1,0,0,0,0,0,68,68,68,22,46,1,0,0,22,0,0,3,19,0,1,4,17,0,0,3,19,2,0,0,5,15,0,0,0,2,3,6,11,2021,ECON,412,1,Adam R. Roberts,41.176,52.941,2.941,1.471,1.471,0.0,0.0,0.0,0.0,0.0,3.309,3.309,3.0,3.864,3.727,3.864,4.409,5.182
